Abbreviation,Meaning,Wiki_Link,Reference_Link
PID,Persistent Identifier,https://en.wikipedia.org/wiki/Persistent_identifier,
VIAF,Virtual International Authority File,,
TDWG,Taxonomic Descriptions Work Group,,
EML,Ecological Metadata Language,https://en.wikipedia.org/wiki/Ecological_Metadata_Language,
ETL,Entry Transfer Load,,
ETL,Extract Transform Load,,https://en.wikipedia.org/wiki/Extract,_transform,_load
RIs,Research Infrastructures,,
s.l.,"sine locale, without a location",,
GSP,Generic Services Projects,,
AOB,Any Other Business / Bugs,,
LOD,Linked Open Data,,
BRU,Biological Recording Unit,,
Btree,self balancing tree data structure,https://en.wikipedia.org/wiki/B-tree,
ETI,Everything To Index,,
STSM,Short Term Scientific Mission,,
ARK,Archival Resource Key,,
INEA,Innovations and Networks Executive Agency,,https://ec.europa.eu/inea/en/
OWL,Web Ontology Language,https://en.wikipedia.org/wiki/Web_Ontology_Language,
DAI,Digitally Accessable Information,,
RDF,Resource Description Framework,https://en.wikipedia.org/wiki/Resource_Description_Framework,
RDFS,RDF Schema,https://en.wikipedia.org/wiki/RDF_Schema,
LODLAM,"Linked Open Data in Library, Archives, and Museums",,https://lodlam.net/
RiC,Records in Contexts,https://en.wikipedia.org/wiki/Records_in_Contexts,"https://www.ica.org/en/egad-ric-conceptual-model, https://web.esrc.unimelb.edu.au/ICAD/biogs/E000067b.htm"
GLAM,"Galleries,Libraries,Archives,Museums",,
OER,Open Educational Resources,https://en.wikipedia.org/wiki/Open_educational_resources,https://unesdoc.unesco.org/ark:/48223/pf0000370936
CSR,Corporate Social Responsibility,https://en.wikipedia.org/wiki/Corporate_social_responsibility,
BGCI,Botanic Gardens Conservation International,https://en.wikipedia.org/wiki/Botanic_Gardens_Conservation_International,https://www.bgci.org/
GBS,Genotyping by Sequencing,https://en.wikipedia.org/wiki/Genotyping_by_sequencing,
MET,Morpho-Ecological Type,,
CHI/HCI,Computer-Human Interaction/Interface,https://en.wikipedia.org/wiki/Human%E2%80%93computer_interaction,
CHI,Cultural Heritage Institution,,
CARE,"Collective-Benefit,Authority to Control, Responsibility, Ethics",,https://www.gida-global.org/care
EDM, Europeana Data Model,,https://pro.europeana.eu/resources/standardization-tools/edm-documentation
OpenDS,Open Digital Specimen,,https://www.researchgate.net/publication/333854988_'openDS'_-_A_New_Standard_for_Digital_Specimens_and_Other_Natural_Science_Digital_Object_Types
ENM,Ecological Niche Modelling,https://en.wikipedia.org/wiki/Species_distribution_modelling,https://pdfs.semanticscholar.org/e98a/80aeec9ab38373397aa11109572abbb77ce4.pdf
DAG,Directed acyclic graph,https://en.wikipedia.org/wiki/Directed_acyclic_graph,https://cran.r-project.org/web/packages/ggdag/vignettes/intro-to-dags.html
DPO,Data Protection Officer,https://en.wikipedia.org/wiki/Data_Protection_Officer,https://edps.europa.eu/data-protection/data-protection/reference-library/data-protection-officer-dpo_en
RDM,Research Data Management,,https://researchdata.berkeley.edu/
FTE,Full Time Equivalent,https://en.wikipedia.org/wiki/Full-time_equivalent,
LOUD,Linked Open Usable Data,,https://linked.art/loud/
EOL,Encyclopedia of life,https://en.wikipedia.org/wiki/Encyclopedia_of_Life,https://eol.org
SWEET,Semantic Web for Earth and Environmental Terminology,,https://github.com/ESIPFed/sweet
ORMS,Operating Resource Management System,,https://tecrada.com/operating-system-resource-management/
ORM,Object-Relational Mapper,https://en.wikipedia.org/wiki/Object-relational_mapping,
MIDS,Minimum Information about a Digital Specimen,,
BGS,British Geographic Survey,https://en.wikipedia.org/wiki/British_Geological_Survey,https://www.bgs.ac.uk/
OBO,Open biological and biomedical ontologies,https://en.wikipedia.org/wiki/Open_Biomedical_Ontologies,http://www.obofoundry.org/
SAD,(local) Species Abundance Distribution,https://en.wikipedia.org/wiki/Relative_species_abundance,"https://dfzljdn9uc3pi.cloudfront.net/2016/1900/1/The_introduction_of_species_abundance_distribution.pdf, https://doi.org/10.1016/j.tree.2018.05.002"
ILK,Indiginous and Local Knowledge,https://en.wikipedia.org/wiki/Traditional_knowledge,http://www.unesco.org/new/en/natural-sciences/priority-areas/links/related-information/what-is-local-and-indigenous-knowledge/
NCP,Natures Contributions to People,,https://ipbes.net/news/natures-contributions-people-ncp-article-ipbes-experts-science
BSBI,Botanical Society of Britain and Ireland,https://en.wikipedia.org/wiki/Botanical_Society_of_Britain_and_Ireland,https://bsbi.org/
